block_fips,nbrhood_id,nbrhood_name
60750332031014,60,Outer Sunset
60750330004014,60,Outer Sunset
60750134003001,60,Outer Sunset
60750132003008,60,Outer Sunset
60750134003000,40,Lone Mountain
60750134001000,40,Lone Mountain
60750153002008,60,Outer Sunset
60750153002005,60,Outer Sunset
60750134003007,60,Outer Sunset
60750132002000,72,Silver Terrace
60750132002006,72,Silver Terrace
60750615003005,72,Silver Terrace
60750264032008,33,Inner Richmond
60750615004004,33,Inner Richmond
60750615003006,16,Excelsior
60750452004000,16,Excelsior
60750402001007,48,Mission Bay
60750260012002,48,Mission Bay
60750260012004,16,Excelsior
60750261002002,16,Excelsior
60750261002020,11,Crocker Amazon
60750260041016,11,Crocker Amazon
60750263011008,11,Crocker Amazon
60750263012018,16,Excelsior
60750263013010,16,Excelsior
60750263032003,16,Excelsior
60750260041018,16,Excelsior
60750260042000,16,Excelsior
60750260032000,11,Crocker Amazon
60750260042006,11,Crocker Amazon
60750260032012,48,Mission Bay
60750263021011,68,Presidio Heights
60750263022009,28,Ingleside
60750255001021,4,Bernal Heights
60750109001001,64,Pine Lake Park
60750312013003,64,Pine Lake Park
60750254032005,79,Visitacion Valley
60750231032016,27,Hunters Point
60750167003004,5,Buena Vista Park/Ashbury Heights
60750601001159,66,Potrero Hill
60750263023020,11,Crocker Amazon
60750614001003,65,Portola
60750607002024,65,Portola
60750330004004,63,Cole Valley/Parnassus Heights
60750310003005,49,Mission Dolores
60750306001010,20,Forest Hills Extension
60750204021014,12,Diamond Heights
60750255006002,48,Mission Bay
60750311001002,22,Glen Park
60750311001000,22,Glen Park
60750255001013,4,Bernal Heights
60750255002028,48,Mission Bay
60750311001005,22,Glen Park
60750217002012,22,Glen Park
60750254013005,4,Bernal Heights
60750254031016,4,Bernal Heights
60750309003015,30,Ingleside Terrace
60750309002017,50,Mission Terrace
60750313011004,42,Marina
60750309003018,30,Ingleside Terrace
60750309003011,30,Ingleside Terrace
60750313011000,42,Marina
60750309001015,49,Mission Dolores
60750264021002,79,Visitacion Valley
60750257012039,64,Pine Lake Park
60750257012040,64,Pine Lake Park
60750262004001,56,Oceanview
60750257022019,64,Pine Lake Park
60750452004003,33,Inner Richmond
60750401004005,33,Inner Richmond
60750401003001,33,Inner Richmond
60750451003006,33,Inner Richmond
60750156003004,39,Lakeside
60750451002004,33,Inner Richmond
60750451001008,33,Inner Richmond
60750451001009,33,Inner Richmond
60759803001056,24,Golden Gate Park
60750302021007,34,Inner Sunset
60750302021005,34,Inner Sunset
60750302023006,34,Inner Sunset
60750302023004,34,Inner Sunset
60750302021000,34,Inner Sunset
60750301013001,34,Inner Sunset
60750309005004,69,Russian Hill
60750309005016,2,Balboa Terrace
60750309005009,69,Russian Hill
60750308003016,69,Russian Hill
60750308001001,80,West Portal
60750308001005,80,West Portal
60750308001000,80,West Portal
60750308001007,80,West Portal
60750308001008,80,West Portal
60750306003003,20,Forest Hills Extension
60750306001008,20,Forest Hills Extension
60750177001040,31,Inner Mission
60750601001139,66,Potrero Hill
60750601001137,66,Potrero Hill
60750133001005,67,Presidio
60750133003005,67,Presidio
60750162003000,26,Hayes Valley
60750163002003,26,Hayes Valley
60750124023003,78,Van Ness/Civic Center
60750256004003,16,Excelsior
60750218002001,22,Glen Park
60750253003000,4,Bernal Heights
60750253002009,4,Bernal Heights
60750253002005,4,Bernal Heights
60750218002009,22,Glen Park
60750254013000,4,Bernal Heights
60750254031006,4,Bernal Heights
60750254032010,4,Bernal Heights
60750309002005,50,Mission Terrace
60750309002012,50,Mission Terrace
60750309002016,50,Mission Terrace
60750309003016,30,Ingleside Terrace
60750264011008,79,Visitacion Valley
60750264012005,79,Visitacion Valley
60750264032009,79,Visitacion Valley
60750264031004,79,Visitacion Valley
60750264031003,79,Visitacion Valley
60750257022012,64,Pine Lake Park
60750230013001,71,Sea Cliff
60750230013009,71,Sea Cliff
60750230013006,71,Sea Cliff
60750257022018,64,Pine Lake Park
60750257021004,64,Pine Lake Park
60750230013004,71,Sea Cliff
60750177002023,73,South of Market
60750177002032,31,Inner Mission
60750226001009,65,Portola
60750227022001,65,Portola
60759809001013,65,Portola
60750614001008,65,Portola
60750614002017,65,Portola
60750177001057,65,Portola
60750479012004,84,Lincoln Park
60759803001011,24,Golden Gate Park
60750476001000,6,Central Richmond
60750476001006,6,Central Richmond
60750476002000,6,Central Richmond
60750601001162,66,Potrero Hill
60750157003005,39,Lakeside
60750156001000,39,Lakeside
60750402001004,33,Inner Richmond
60750452001003,33,Inner Richmond
60750452001000,33,Inner Richmond
60750158012006,1,Anza Vista
60750155002007,40,Lone Mountain
60750204012001,8,Clarendon Heights
60750204011004,15,Eureka Valley / Dolores Heights
60750170002008,9,Corona Heights
60750204013015,15,Eureka Valley / Dolores Heights
60750204013001,9,Corona Heights
60750201001012,73,South of Market
60750170002006,9,Corona Heights
60750169002004,14,Duboce Triangle
60750203003006,15,Eureka Valley / Dolores Heights
60750205001008,15,Eureka Valley / Dolores Heights
60750206004001,15,Eureka Valley / Dolores Heights
60750206004006,15,Eureka Valley / Dolores Heights
60750159002009,81,Western Addition
60750161003003,81,Western Addition
60750161002003,81,Western Addition
60750168011001,26,Hayes Valley
60750168011000,26,Hayes Valley
60750252002005,4,Bernal Heights
60750252002006,4,Bernal Heights
60750258001001,64,Pine Lake Park
60750259003001,79,Visitacion Valley
60750478012000,71,Sea Cliff
60750230031012,3,Bayview
60750233001002,3,Bayview
60750233001024,89,Bayview Heights
60750233001015,89,Bayview Heights
60750234001020,89,Bayview Heights
